OP_CODE AIMS,NAME ANALYSIS ZOE,Frame,Time first fed (mins),TapeReader,Family,Genus,Species,Code,Time on seabed,
FP_201_ASH002,ASH002,none fed,,,,,,,,
FP_201_ASH003,ASH003,41949,23.305,CWS,Lethrinidae,Lethrinus,microdon,37351011,2.4294,
FP_201_ASH003,ASH003,42984,23.88,CWS,Lethrinidae,Lethrinus,olivaceus,37351004,2.4294,
FP_201_ASH003,ASH003,42984,23.88,CWS,Lutjanidae,Aprion,virescens,37346027,2.4294,
FP_201_ASH006,ASH006,none fed,,,,,,,,
FP_201_ASH012,ASH012,none fed,,,,,,,,
FP_201_ASH014,ASH014,none fed,,,,,,,,
FP_201_ASH017,ASH017,26757,14.8799,"CWS, BV",Carcharhinidae,Carcharhinus,amblyrhynchos,37018030,0.6835,
FP_201_ASH017,ASH017,5937,3.3016,"CWS, BV",Lethrinidae,Lethrinus,rubrioperculatus,37351012,0.6835,
FP_201_ASH025,ASH025,87552,48.6887,"CWS, BV",Lutjanidae,Lutjanus,rivulatus,37346016,1.1478,
FP_201_ASH028,ASH028,70153,39.0129,"CWS, BV",Carcharhinidae,Carcharhinus,amblyrhynchos,37018030,2.7845,
FP_201_ASH033,ASH033,15416,8.573,CWS,Carcharhinidae,Carcharhinus,amblyrhynchos,37018030,1.3336,
FP_201_ASH033,ASH033,6350,3.5313,CWS,Lethrinidae,Lethrinus,rubrioperculatus,37351012,1.3336,
FP_201_ASH033,ASH033,28244,15.7068,CWS,Lethrinidae,Lethrinus,ravus,37351031,1.3336,
FP_201_ASH035,ASH035,8606,4.7859,"CWS, BV",Carangidae,Caranx,melampygus,37337050,1.2607,
FP_201_ASH036,ASH036,56614,31.4837,CWS,Carcharhinidae,Carcharhinus,amblyrhynchos,37018030,2.5987,
FP_201_ASH036,ASH036,23275,12.9435,CWS,Lethrinidae,Lethrinus,atkinsoni,37351013,2.5987,
FP_201_ASH036,ASH036,23275,12.9435,CWS,Lutjanidae,Lutjanus,bohar,37346029,2.5987,
FP_201_ASH040,ASH040,26810,14.9094,CWS,Lethrinidae,Lethrinus,amboinensis,37351024,1.853,
FP_201_ASH040,ASH040,26974,15.0006,CWS,Lethrinidae,Lethrinus,rubrioperculatus,37351012,1.853,
FP_201_ASH047,ASH047,none fed,,,,,,,,
FP_201_ASH051,ASH051,109129,60.6879,"CWS, BV",Ginglymostomatidae,Nebrius,ferrugineus,37013010,3.2355,
FP_201_ASH052,ASH052,90586,50.3759,"CWS, BV",Lethrinidae,Gymnocranius,grandoculis,37351005,3.0341,
FP_201_ASH055,ASH055,111238,61.8607,"CWS, BV",Lethrinidae,Lethrinus,olivaceus,37351004,4.5312,
FP_201_ASH055,ASH055,26136,14.5345,"CWS, BV",Lethrinidae,Lethrinus,rubrioperculatus,37351012,4.5312,
FP_201_ASH055,ASH055,13349,7.4235,"CWS, BV",Lethrinidae,Lethrinus,semicinctus,37351016,4.5312,
FP_201_ASH056,ASH056,44667,24.8398,CWS,Lethrinidae,Lethrinus,microdon,37351011,1.9859,
FP_201_ASH056,ASH056,51448,28.6108,CWS,Lutjanidae,Lutjanus,decussatus,37346041,1.9859,
FP_201_ASH059,ASH059,40940,22.7672,"CWS, BV",Lethrinidae,Lethrinus,rubrioperculatus,37351012,3.458,
FP_201_ASH064,ASH064,91152,50.6907,CWS,Carcharhinidae,Triaenodon,obesus,37018038,0.6184,
FP_201_ASH064,ASH064,69476,38.6364,CWS,Serranidae,Epinephelus,fuscoguttatus,37311021,38.6364,
FP_201_ASH068,ASH068,34735,19.3165,CWS,Lethrinidae,Gymnocranius,grandoculis,37351005,3.5169,
FP_201_ASH068,ASH068,19318,10.743,CWS,Lethrinidae,Lethrinus,olivaceus,37351004,3.5169,
FP_201_ASH088,ASH088,93467,51.9781,CWS,Carcharhinidae,Galeocerdo,cuvier,37018022,1.4781,
FP_201_ASH088,ASH088,97927,54.4583,CWS,Echeneidae,Echeneis,naucrates,37336001,1.4781,
FP_201_ASH088,ASH088,83534,46.4542,CWS,Stegostomatidae,Stegostoma,fasciatum,37013006,1.4781,
FP_201_ASH105,ASH105,99830,55.5166,"CWS, BV",Echeneidae,Echeneis,naucrates,37336001,1.0177,
FP_201_ASH108,ASH108,80005,44.4917,CWS,Lethrinidae,Lethrinus,microdon,37351011,0.6979,
FP_201_ASH108,ASH108,24798,13.7905,CWS,Lethrinidae,Lethrinus,rubrioperculatus,37351012,0.6979,
FP_201_ASH112,ASH112,99606,55.3921,,Carcharhinidae,Carcharhinus,amblyrhynchos,37018030,0.8509,
FP_201_ASH112,ASH112,19348,10.7596,,Lethrinidae,Lethrinus,microdon,37351011,0.8509,
FP_201_ASH112,ASH112,41122,22.8684,,Lethrinidae,Lethrinus,olivaceus,37351004,0.8509,
FP_201_ASH112,ASH112,19864,11.0466,,Lethrinidae,Lethrinus,rubrioperculatus,37351012,0.8509,
FP_201_ASH112,ASH112,82894,46.0983,,Lutjanidae,Lutjanus,bohar,37346029,0.8509,
