"","modname","AICc","BIC","r2.vals","r2.vals.unique","edf","edf.less.1","delta.AICc","delta.BIC","wi.AICc","wi.BIC","Depth","log.SumMaxN","log.Small_MaxN","log.Medium_MaxN","log.Large_MaxN","Year","Shark_present","Complexity","cumsum.wi"
"Medium.log.Medium_MaxN+log.Small_MaxN","log.Medium_MaxN+log.Small_MaxN",199.670339710837,209.300573501391,0.02805,NA,3,0,0,5.383,0.094,0.035,0,0,1,1,0,0,0,0,0.094
"Medium.log.Medium_MaxN","log.Medium_MaxN",200.20240657893,206.643247636433,0.01323,NA,2,0,0.532,2.726,0.072,0.132,0,0,0,1,0,0,0,0,0.166
"Medium.null","null",200.686115836347,203.917225243229,0,NA,1,0,1.016,0,0.057,0.517,0,0,0,0,0,0,0,0,0.223
"Medium.log.Large_MaxN","log.Large_MaxN",200.90857864699,209.553351843851,0.01656,NA,2.69,0,1.238,5.636,0.051,0.031,0,0,0,0,1,0,0,0,0.274
"Medium.Depth+log.Large_MaxN","Depth+log.Large_MaxN",201.004056949868,215.676113570155,0.03677,NA,4.6,0,1.334,11.759,0.048,0.001,1,0,0,0,1,0,0,0,0.322
"Medium.log.Small_MaxN","log.Small_MaxN",201.222796769769,208.127132631319,0.00942,NA,2.15,0,1.552,4.21,0.043,0.063,0,0,1,0,0,0,0,0,0.365
"Medium.Complexity+log.Medium_MaxN","Complexity+log.Medium_MaxN",201.425837241552,214.219997542317,0.02807,NA,4,0,1.755,10.303,0.039,0.003,0,0,0,1,0,0,0,1,0.404
"Medium.Depth+log.Medium_MaxN","Depth+log.Medium_MaxN",201.688619474498,213.075933250221,0.02181,NA,3.55,0,2.018,9.159,0.034,0.005,1,0,0,1,0,0,0,0,0.438
"Medium.log.Medium_MaxN+log.Small_MaxN+Shark_present","log.Medium_MaxN+log.Small_MaxN+Shark_present",201.693964479733,214.489693849811,0.02826,NA,4,0,2.024,10.572,0.034,0.003,0,0,1,1,0,0,1,0,0.472
"Medium.Depth+log.Medium_MaxN+log.Small_MaxN","Depth+log.Medium_MaxN+log.Small_MaxN",201.734990429365,215.382529585684,0.03129,NA,4.27,0,2.065,11.465,0.034,0.002,1,0,1,1,0,0,0,0,0.506
"Medium.log.Medium_MaxN+Year","log.Medium_MaxN+Year",201.768258115552,211.396861646623,0.01591,NA,3,0,2.098,7.48,0.033,0.012,0,0,0,1,0,1,0,0,0.539
"Medium.log.Large_MaxN+log.Small_MaxN","log.Large_MaxN+log.Small_MaxN",201.848721987528,213.667446968779,0.0228,NA,3.69,0,2.178,9.75,0.032,0.004,0,0,1,0,1,0,0,0,0.571
"Medium.log.Medium_MaxN+Shark_present","log.Medium_MaxN+Shark_present",202.102992243002,211.731591750322,0.01397,NA,3,0,2.433,7.814,0.028,0.01,0,0,0,1,0,0,1,0,0.599
"Medium.Year","Year",202.213108947425,208.653826016284,0.0027,NA,2,0,2.543,4.737,0.026,0.048,0,0,0,0,0,1,0,0,0.625
"Medium.Depth","Depth",202.366552020934,210.299555597441,0.00891,NA,2.47,0,2.696,6.382,0.025,0.021,1,0,0,0,0,0,0,0,0.65
"Medium.log.SumMaxN","log.SumMaxN",202.612456078611,209.053296859012,0.00061,NA,2,0,2.942,5.136,0.022,0.04,0,1,0,0,0,0,0,0,0.672
"Medium.Complexity","Complexity",202.617280482776,212.245758520926,0.01114,NA,3,0,2.947,8.329,0.022,0.008,0,0,0,0,0,0,0,1,0.694
"Large.log.Medium_MaxN+Year.I.Shark_present","log.Medium_MaxN+Year.I.Shark_present",55.2821788400971,69.3333871104176,0.06449,NA,5.86,0,0,4.639,0.413,0.04,0,0,0,1,0,1,1,0,0.413
"Large.log.Large_MaxN","log.Large_MaxN",57.7174591223883,64.6941730291052,0.0286,NA,2.82,0,2.435,0,0.122,0.405,0,0,0,0,1,0,0,0,0.535
"Small.null","null",65.5306437750105,67.3808367546736,0,NA,1,0,0,0,0.089,0.321,0,0,0,0,0,0,0,0,0.089
"Small.Depth","Depth",65.7171614617182,69.3312157934417,0.03918,NA,2,0,0.187,1.95,0.081,0.121,1,0,0,0,0,0,0,0,0.17
"Small.Year","Year",65.8722951481575,69.4859464136061,0.03383,NA,2,0,0.342,2.105,0.075,0.112,0,0,0,0,0,1,0,0,0.245
"Small.Depth+log.SumMaxN","Depth+log.SumMaxN",66.2001136915732,73.0429279955476,0.11472,NA,3.99,0,0.669,5.662,0.063,0.019,1,1,0,0,0,0,0,0,0.308
"Small.log.Medium_MaxN","log.Medium_MaxN",66.7023766298031,71.4029941500276,0.02558,NA,2.64,0,1.172,4.022,0.049,0.043,0,0,0,1,0,0,0,0,0.357
"Small.log.SumMaxN","log.SumMaxN",66.9604254799203,71.0443827657685,0.02654,NA,2.28,0,1.43,3.664,0.043,0.051,0,1,0,0,0,0,0,0,0.4
"Small.log.Small_MaxN","log.Small_MaxN",67.1131996946972,70.7268808581377,0.01154,NA,2,0,1.583,3.346,0.04,0.06,0,0,1,0,0,0,0,0,0.44
"Small.log.Large_MaxN","log.Large_MaxN",67.1469858793307,71.7108457006109,0.03791,NA,2.56,0,1.616,4.33,0.04,0.037,0,0,0,0,1,0,0,0,0.48
"Small.log.SumMaxN+Year","log.SumMaxN+Year",67.1724365308115,73.2832822325269,0.06922,NA,3.52,0,1.642,5.902,0.039,0.017,0,1,0,0,0,1,0,0,0.519
"Small.Depth+log.Medium_MaxN","Depth+log.Medium_MaxN",67.1794794724901,73.3539675533265,0.07366,NA,3.56,0,1.649,5.973,0.039,0.016,1,0,0,1,0,0,0,0,0.558
"Small.Complexity+Depth","Complexity+Depth",67.3789574386997,74.2367147387685,0.0838,NA,4,0,1.848,6.856,0.035,0.01,1,0,0,0,0,0,0,1,0.593
"Small.Shark_present","Shark_present",67.6613013727101,71.2749526381588,0.00074,NA,2,0,2.131,3.894,0.031,0.046,0,0,0,0,0,0,1,0,0.624
"Small.log.Small_MaxN+Year","log.Small_MaxN+Year",67.8818120645566,73.1666681691712,0.03883,NA,3,0,2.351,5.786,0.027,0.018,0,0,1,0,0,1,0,0,0.651
"Small.log.Medium_MaxN+Year","log.Medium_MaxN+Year",67.8996767626504,74.0823125696064,0.04116,NA,3.56,0,2.369,6.701,0.027,0.011,0,0,0,1,0,1,0,0,0.678
"Small.Depth+Shark_present","Depth+Shark_present",67.9802816317177,73.2788912091665,0.03947,NA,3.01,0,2.45,5.898,0.026,0.017,1,0,0,0,0,0,1,0,0.704
"Small.Complexity","Complexity",68.0665177113233,73.351356311624,0.03647,NA,3,0,2.536,5.971,0.025,0.016,0,0,0,0,0,0,0,1,0.729
"Small.Shark_present+Year","Shark_present+Year",68.0779806026215,73.3628192029221,0.03487,NA,3,0,2.547,5.982,0.025,0.016,0,0,0,0,0,1,1,0,0.754
"Small.Complexity+Depth+log.SumMaxN","Complexity+Depth+log.SumMaxN",68.5019097789615,77.6757960528989,0.13712,NA,5.62,0,2.971,10.295,0.02,0.002,1,1,0,0,0,0,0,1,0.774
